Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2025-01-11,Bills,NetBanking,Right sister together food.,387.37,0.0
2025-01-07,Transportation,Credit Card,About resource particularly past community.,195.24,0.0
2025-01-18,Transportation,Debit Card,Seek protect present book.,365.99,16.01
2025-01-04,Groceries,Debit Card,Effort inside bit impact large.,253.36,0.0
2025-01-01,Subscriptions,Cash,Somebody yard form create political report decade.,262.53,0.0
2025-01-13,Food,Cash,Enjoy no others leader.,176.95,14.85
2025-01-03,Food,NetBanking,Agreement side value increase reality.,118.64,7.34
2025-01-25,Miscellaneous,Cash,Heavy field development something arm.,305.08,0.0
2025-01-02,Transportation,Cash,Writer face air lay same.,355.8,9.57
2025-01-05,Groceries,NetBanking,Control current offer operation.,458.88,6.58
2025-01-19,Subscriptions,NetBanking,Itself hit key letter rather do.,103.27,0.0
2025-01-14,Subscriptions,Debit Card,Require really each.,453.31,0.0
2025-01-20,Groceries,Debit Card,Wear staff matter should use.,56.25,0.0
2025-01-09,Subscriptions,Cash,Politics ten upon not them person.,58.43,0.0
2025-01-14,Bills,Credit Card,Doctor important knowledge store ability.,145.03,0.0
2025-01-08,Entertainment,UPI,Produce provide two party.,499.09,12.49
2025-01-06,Miscellaneous,Credit Card,Role finish mouth meeting bed single.,193.88,0.0
2025-01-04,Food,UPI,Year range while computer paper.,474.88,0.0
2025-01-16,Food,Credit Card,Degree involve describe black actually poor.,197.31,14.63
2025-01-06,Subscriptions,Debit Card,Network protect cut.,274.55,16.21
2025-01-26,Groceries,Debit Card,Again kitchen question trip surface.,275.32,19.98
2025-01-07,Groceries,NetBanking,Language walk while.,404.87,12.31
2025-01-16,Entertainment,UPI,Simply draw make.,347.73,0.0
2025-01-06,Subscriptions,Debit Card,Nor face serious.,322.36,13.05
2025-01-03,Food,Cash,Look city available most apply past.,469.42,0.0
2025-01-01,Groceries,UPI,Light decision issue note.,277.52,10.29
2025-01-05,Entertainment,Debit Card,Daughter blood significant director help suggest.,78.45,0.0
2025-01-03,Transportation,UPI,Recently financial cover.,354.73,0.0
2025-01-25,Bills,Cash,Citizen personal rise.,333.01,0.96
2025-01-25,Entertainment,UPI,Value card oil.,410.96,7.65
2025-01-08,Groceries,Debit Card,Black benefit never party moment.,464.71,14.82
2025-01-19,Entertainment,Cash,Bit clear onto then PM operation.,52.1,16.18
2025-01-12,Subscriptions,Cash,Attack away Republican response.,83.77,0.0
2025-01-08,Subscriptions,Cash,Teacher oil cup page.,11.78,11.82
2025-01-10,Subscriptions,Debit Card,Movie develop suggest adult yard.,176.15,0.0
2025-01-01,Transportation,Credit Card,Church middle resource series gun.,456.31,9.69
2025-02-13,Bills,Credit Card,Through goal traditional.,481.42,0.0
2025-02-23,Transportation,Cash,Give near blood.,32.99,0.0
2025-02-02,Groceries,NetBanking,Table soldier institution item.,308.38,0.0
2025-02-23,Transportation,Debit Card,Trade paper hand kid third economy.,136.36,0.0
2025-02-21,Bills,Credit Card,Read watch difficult tough.,157.42,1.65
2025-02-04,Subscriptions,UPI,President night buy.,353.54,16.12
2025-02-18,Subscriptions,Debit Card,Society entire back.,183.41,0.0
2025-02-27,Subscriptions,NetBanking,Executive once person exactly guess indicate.,267.14,0.0
2025-02-06,Bills,UPI,Threat team also tend only if.,201.06,7.69
2025-02-05,Groceries,Debit Card,Apply describe candidate hour raise.,330.37,10.94
2025-02-05,Transportation,Cash,Stop night clear south break really.,285.64,15.6
2025-02-27,Transportation,UPI,Value option tend.,52.81,0.0
2025-02-18,Bills,UPI,Nation clearly open capital possible never whose.,143.91,15.16
2025-02-26,Groceries,Credit Card,Major another do.,133.98,10.0
2025-02-26,Transportation,Cash,Buy south generation several card.,232.7,1.27
2025-02-01,Groceries,Credit Card,Born suddenly factor high spend.,274.23,0.0
2025-02-25,Subscriptions,UPI,Quality bad size fear use medical.,111.24,15.23
2025-02-20,Subscriptions,Debit Card,Lawyer turn ever serious.,98.57,0.0
2025-02-16,Transportation,Credit Card,Significant add food activity either.,371.4,0.0
2025-02-19,Entertainment,Credit Card,President town sense.,93.88,15.71
2025-02-13,Miscellaneous,Cash,Or middle service bit nice.,143.04,8.08
2025-02-21,Entertainment,UPI,Make career decade.,366.36,0.0
2025-02-27,Transportation,UPI,Often worry nature team.,486.81,0.0
2025-02-26,Subscriptions,Debit Card,Nature radio couple hundred.,481.23,0.0
2025-02-04,Transportation,Cash,Least better power.,348.56,0.0
2025-02-26,Groceries,UPI,None meet store smile knowledge book.,261.87,8.7
2025-02-01,Food,Cash,Pattern measure loss statement ever opportunity.,69.51,13.48
2025-02-23,Miscellaneous,NetBanking,Road author tell best side.,98.17,0.0
2025-02-14,Entertainment,Cash,Somebody produce occur friend.,311.31,3.12
2025-02-26,Transportation,UPI,Present part put enter.,32.79,0.0
2025-02-19,Bills,Cash,Step per agree.,167.27,0.0
2025-02-10,Food,Debit Card,Improve until finish artist western discuss.,132.61,8.71
2025-02-01,Food,UPI,Continue environmental its pass attorney.,132.12,0.0
2025-02-13,Entertainment,Debit Card,Article opportunity shake star.,251.52,1.41
2025-02-09,Groceries,Debit Card,Outside American appear economic coach perhaps.,122.7,16.25
2025-02-03,Food,Credit Card,Effort effort according television determine start.,376.65,0.0
2025-02-07,Food,Debit Card,Health past new many.,275.7,0.0
2025-02-20,Miscellaneous,Debit Card,Follow young food sometimes price.,415.13,0.0
2025-02-15,Transportation,UPI,Evening trade relate finish audience crime.,198.85,3.2
2025-02-08,Transportation,NetBanking,Thus pattern main like.,213.46,0.0
2025-02-04,Bills,Cash,Service well democratic.,53.59,0.0
2025-02-24,Groceries,Debit Card,Voice class understand wind pay various cultural.,337.83,10.54
2025-02-14,Groceries,Cash,Language left word notice line.,203.18,7.86
2025-02-03,Groceries,UPI,Model education money hit board opportunity.,100.32,0.0
2025-02-18,Food,UPI,Add social kid us.,342.64,0.0
2025-02-20,Entertainment,UPI,Move mother type.,210.8,19.59
2025-02-17,Bills,Cash,Close radio end bad view.,312.11,0.0
2025-02-10,Entertainment,Cash,Entire term street front beat modern.,443.14,15.82
2025-02-23,Subscriptions,Debit Card,Soon key friend man.,211.22,12.7
2025-02-23,Bills,UPI,Apply Mrs possible rate series stop.,401.45,5.7
2025-02-11,Food,NetBanking,Water special name too.,69.0,0.0
2025-02-25,Entertainment,Credit Card,See thought by.,200.65,0.0
2025-02-04,Subscriptions,Credit Card,After change across require drive.,388.62,18.09
2025-02-05,Groceries,Debit Card,Sport challenge again take these.,91.2,14.13
2025-02-17,Subscriptions,Debit Card,Look want several pattern home relate.,361.34,0.0
2025-02-26,Food,UPI,Admit kitchen big form player I.,150.35,6.24
2025-02-27,Food,Debit Card,Teach those child address test image.,100.47,0.0
2025-02-14,Transportation,NetBanking,Effort question explain ago.,237.28,0.0
2025-02-25,Food,Cash,Concern marriage edge.,344.45,5.44
2025-02-23,Miscellaneous,NetBanking,Myself pull project listen front whose.,21.56,15.71
2025-02-15,Subscriptions,UPI,Away from heart book oil skill.,53.46,0.0
2025-02-11,Miscellaneous,Cash,Similar president discuss carry.,166.62,11.13
2025-02-17,Food,NetBanking,Save score animal animal truth.,92.4,0.0
2025-02-08,Food,NetBanking,Poor food thousand.,166.46,0.0
2025-02-25,Groceries,Debit Card,Into sure return think test.,410.43,14.23
2025-02-17,Entertainment,Debit Card,Help night building personal story person.,139.09,19.65
2025-02-13,Bills,Credit Card,Evidence hot cell.,304.68,17.71
2025-02-27,Food,Debit Card,Write recently evening past such.,291.85,0.0
2025-02-21,Transportation,Debit Card,Foot this few we.,89.24,13.69
2025-02-07,Bills,NetBanking,Me next arrive manage.,477.28,0.0
2025-02-11,Subscriptions,Cash,Laugh make impact.,378.19,0.0
2025-02-13,Transportation,Cash,Country what accept three story.,81.77,0.0
2025-02-03,Entertainment,UPI,Stay check teacher and him.,244.8,0.0
2025-02-24,Transportation,Debit Card,Public low foot attack.,146.11,0.0
2025-02-20,Food,UPI,Pull city wife page we daughter.,269.07,6.63
2025-02-11,Subscriptions,Cash,Front often point.,284.3,0.0
2025-02-20,Subscriptions,Cash,Technology face by production.,445.21,6.78
2025-02-16,Bills,UPI,Available center adult mouth run than.,211.53,0.0
2025-02-27,Entertainment,NetBanking,Drive community similar meet change.,64.56,0.0
2025-02-11,Miscellaneous,NetBanking,Born work section character education seven sign.,66.31,0.0
2025-02-02,Miscellaneous,NetBanking,After west also across within.,478.12,10.85
2025-02-13,Groceries,NetBanking,Physical detail like born certain.,34.5,4.51
2025-02-26,Food,Cash,Month leader responsibility fish.,411.85,15.22
2025-02-02,Bills,UPI,Explain kid never.,369.36,0.0
2025-02-20,Food,NetBanking,Eight summer method turn join.,296.68,0.0
2025-02-16,Miscellaneous,UPI,Care face evidence mention they ready.,344.5,7.31
2025-02-21,Transportation,Cash,Establish card push information.,15.5,0.0
2025-02-15,Miscellaneous,Credit Card,Expect hundred wall easy always apply.,189.49,0.37
2025-02-03,Transportation,Cash,Control very for dinner even hospital.,354.21,0.0
2025-02-16,Food,Debit Card,Expert can people stuff one.,357.2,10.44
2025-02-15,Transportation,NetBanking,Many success already.,144.18,0.0
2025-02-08,Miscellaneous,UPI,Win nor defense mention.,127.47,9.82
2025-02-21,Transportation,Cash,Low station son.,258.16,10.67
2025-02-19,Entertainment,Cash,Enjoy style worry without.,391.77,5.71
2025-02-27,Groceries,Debit Card,Develop stand chair matter operation modern.,100.41,15.09
2025-02-15,Bills,NetBanking,Student parent cup.,444.43,0.0
2025-02-14,Food,UPI,Heavy ever sense send tough.,313.77,0.0
2025-02-25,Bills,Debit Card,Sing more involve prevent force miss.,258.94,0.0
2025-02-18,Miscellaneous,Cash,Forget talk debate consider wonder.,284.81,13.3
2025-02-02,Food,NetBanking,Administration talk finally about.,43.65,0.0
2025-03-07,Food,Debit Card,Religious evening I.,112.96,17.72
2025-03-27,Subscriptions,NetBanking,Attention value myself major build author.,104.99,0.0
2025-03-06,Miscellaneous,Credit Card,Drive unit could media.,489.04,11.04
2025-03-17,Entertainment,Debit Card,Part parent world.,403.83,17.16
2025-03-18,Food,NetBanking,Nation true four choice red same.,87.46,0.0
2025-03-15,Miscellaneous,Credit Card,All north simple travel set.,72.22,3.93
2025-03-23,Transportation,Cash,Blood beautiful guy deal challenge.,389.12,0.0
2025-03-21,Food,NetBanking,Past boy mouth American.,204.38,19.63
2025-03-25,Groceries,Cash,Turn election establish save view.,295.0,0.0
2025-03-03,Food,Cash,Join prevent program prove true identify.,295.81,0.0
2025-03-14,Groceries,UPI,Affect trade second cost keep return.,70.98,17.96
2025-03-12,Miscellaneous,Cash,If able not respond rule rate.,386.86,0.0
2025-03-27,Miscellaneous,Debit Card,Small result table remain big.,222.43,0.0
2025-03-22,Subscriptions,Credit Card,Research candidate hit fire.,72.65,0.0
2025-03-15,Food,Debit Card,Risk hard speak for usually.,91.32,0.0
2025-03-07,Transportation,NetBanking,Thus tend anything try.,343.15,0.0
2025-03-18,Transportation,NetBanking,Spend raise already red paper.,104.38,19.39
2025-03-10,Transportation,NetBanking,Sister suggest PM maybe allow.,233.78,11.41
2025-03-15,Food,Credit Card,What mouth join.,465.17,0.0
2025-03-03,Entertainment,UPI,Put health forget.,415.88,0.0
2025-03-23,Miscellaneous,Credit Card,Goal treat treat job almost option.,337.0,16.04
2025-03-13,Bills,NetBanking,Million own body.,21.38,0.0
2025-03-10,Bills,UPI,Especially local lead scene.,250.73,6.62
2025-03-02,Subscriptions,UPI,Cell father order.,30.51,0.0
2025-03-21,Bills,Cash,Letter live decision.,264.74,0.0
2025-03-09,Transportation,Debit Card,Network listen meet.,223.99,8.22
2025-03-02,Entertainment,Debit Card,Record watch face.,192.04,0.0
2025-03-24,Bills,Credit Card,Else fall it yes.,166.42,0.0
2025-03-06,Subscriptions,Debit Card,Federal defense industry.,427.12,0.0
2025-03-07,Groceries,Debit Card,Send next interest.,463.11,12.65
2025-03-09,Bills,UPI,Move animal really.,24.78,0.0
2025-03-05,Entertainment,Credit Card,Small right pay sell.,426.01,11.26
2025-03-24,Transportation,Debit Card,Of family light until send.,422.71,18.82
2025-03-21,Subscriptions,Cash,Week court attack over hand leave.,347.63,14.47
2025-03-03,Bills,NetBanking,Hope color total.,477.35,5.79
2025-03-02,Bills,Cash,One seek spring participant mother.,352.68,12.86
2025-03-05,Entertainment,Cash,Job finish nothing pretty.,426.55,10.38
2025-03-08,Entertainment,Debit Card,New travel pass.,93.7,6.23
2025-03-12,Miscellaneous,Cash,Court cultural great.,147.33,0.0
2025-03-24,Miscellaneous,Credit Card,Country realize executive half need authority.,28.23,0.0
2025-03-13,Entertainment,NetBanking,Cup you success those its.,429.12,5.6
2025-03-21,Miscellaneous,UPI,Early church sea seat.,190.65,0.0
2025-03-24,Bills,UPI,Easy stock three similar wind.,450.22,14.8
2025-03-22,Miscellaneous,NetBanking,Scientist magazine military new section first.,347.82,4.49
2025-03-07,Transportation,Debit Card,Help success sing type.,375.72,0.0
2025-03-04,Subscriptions,NetBanking,Federal remain exist environment stuff.,366.34,1.25
2025-03-08,Food,Debit Card,Debate answer set continue when work.,249.06,0.0
2025-03-04,Groceries,UPI,Here suggest carry walk day.,256.45,12.32
2025-03-11,Entertainment,Debit Card,Recently oil amount get focus investment.,219.87,0.0
2025-03-23,Subscriptions,NetBanking,Player human prevent old identify.,449.13,12.57
2025-03-21,Entertainment,UPI,Bad degree tell.,13.96,9.69
2025-03-04,Miscellaneous,Credit Card,Interesting Democrat chair every through subject.,401.38,0.0
2025-03-05,Subscriptions,Credit Card,East store Congress sort current.,247.6,0.0
2025-03-23,Groceries,Debit Card,Interest ground piece theory although save.,145.53,0.0
2025-03-12,Entertainment,Debit Card,Western authority arrive.,432.44,0.0
2025-03-15,Groceries,NetBanking,Understand rest market sister.,30.58,0.0
2025-03-27,Bills,UPI,Choose off loss open hear raise.,181.29,3.77
2025-03-16,Transportation,Credit Card,On husband say.,131.27,0.0
2025-03-14,Bills,Cash,International color water get.,155.68,2.67
2025-03-24,Groceries,NetBanking,Base consumer after base.,327.4,0.0
2025-03-13,Miscellaneous,UPI,May loss court example here beat.,391.87,0.0
2025-03-15,Entertainment,Debit Card,Agreement bank loss quite anyone feel.,199.06,17.53
2025-03-12,Food,UPI,Adult thing this easy force so.,279.37,0.0
2025-03-10,Food,NetBanking,Eye draw space.,491.61,0.0
2025-03-22,Entertainment,NetBanking,Player all difference go.,17.5,0.0
2025-03-01,Food,UPI,Cultural expect suffer may.,146.59,0.0
2025-03-13,Bills,Credit Card,Sister nearly mind husband assume.,475.65,0.0
2025-03-23,Entertainment,Credit Card,Kind service make.,439.24,0.0
2025-03-03,Transportation,Cash,Offer water community doctor sport section.,22.76,0.0
2025-03-18,Subscriptions,Credit Card,Leader amount night.,415.84,0.0
2025-03-02,Entertainment,NetBanking,Skin two total field owner interesting.,404.23,0.0
2025-03-16,Bills,UPI,Task economic person.,269.97,16.39
2025-03-19,Bills,Debit Card,Trouble great stock doctor civil military.,209.92,0.0
2025-03-08,Groceries,UPI,Market son environment.,89.28,11.06
2025-03-23,Bills,Cash,Anyone community number everything audience much.,452.0,5.49
2025-03-25,Food,Credit Card,Perhaps assume candidate.,115.47,7.34
2025-03-23,Food,Cash,Figure produce course size.,344.95,0.0
2025-03-15,Food,Cash,Respond capital camera last wide pull.,290.25,0.0
2025-03-23,Transportation,UPI,Not woman behavior anything.,48.94,0.0
2025-03-16,Food,Debit Card,Me book difficult national money goal.,356.29,0.0
2025-03-18,Bills,Debit Card,Run baby factor radio discussion.,434.33,4.84
2025-03-11,Bills,Debit Card,Agency chance man four store scientist.,134.07,12.55
2025-03-01,Miscellaneous,NetBanking,Role feeling other six among.,280.06,0.0
2025-03-10,Transportation,Cash,Dark artist live money walk eat.,248.12,19.45
2025-03-19,Groceries,Cash,Perform record wind.,88.61,0.2
2025-03-05,Subscriptions,Debit Card,Military focus final.,326.82,0.0
2025-03-01,Entertainment,Credit Card,Real whether turn important after.,198.24,12.96
2025-03-19,Groceries,NetBanking,Natural method argue tree.,327.85,0.0
2025-03-03,Entertainment,Cash,Business thus among without authority.,119.37,2.69
2025-03-17,Entertainment,UPI,Clearly town student tough last enough.,134.04,5.95
2025-03-16,Miscellaneous,Debit Card,Low machine machine indicate million.,420.47,0.0
2025-03-05,Groceries,Cash,Believe player bar professor future.,59.78,0.0
2025-03-20,Groceries,Debit Card,Music able foreign.,483.45,0.0
2025-03-25,Food,Cash,Table understand decision return.,144.04,1.98
2025-03-02,Miscellaneous,Credit Card,Hand only history those.,472.22,0.71
2025-03-02,Entertainment,NetBanking,Treat prepare along policy poor so.,100.27,0.0
2025-03-19,Food,UPI,Before these how.,403.67,16.83
2025-03-18,Transportation,Debit Card,What writer third push card continue.,87.82,0.0
2025-03-05,Groceries,NetBanking,Start town project toward fall.,410.66,0.0
2025-03-07,Groceries,Cash,Catch keep chair wonder whole.,136.55,0.0
2025-04-05,Food,Debit Card,Likely success between.,180.94,0.0
2025-04-15,Groceries,Cash,Cup media recent.,192.06,0.0
2025-04-14,Groceries,Credit Card,Federal anything appear television understand individual.,115.48,0.0
2025-04-25,Groceries,Cash,Several range over big.,82.89,12.21
2025-04-14,Miscellaneous,UPI,Crime would attention.,417.75,0.0
2025-04-23,Groceries,UPI,South change other son market.,386.05,0.0
2025-04-18,Groceries,Cash,Why it bill figure Republican once.,325.57,0.0
2025-04-04,Groceries,Cash,Ability relationship color need week.,299.69,16.8
2025-04-07,Miscellaneous,Debit Card,Alone animal item their music professional.,452.73,0.0
2025-04-25,Miscellaneous,Credit Card,Above process fast forget.,426.71,13.0
2025-04-11,Entertainment,Credit Card,Field join change former.,229.76,17.16
2025-04-04,Miscellaneous,UPI,Very major early line success.,450.69,0.0
2025-04-07,Bills,Credit Card,Research bed in million PM.,208.73,12.33
2025-04-22,Entertainment,NetBanking,After condition sing mission fly point.,181.2,0.0
2025-04-11,Transportation,Debit Card,Past factor claim ask challenge mother.,260.21,19.66
2025-04-20,Food,NetBanking,Blood truth former foot.,99.29,0.0
2025-04-02,Bills,NetBanking,Character well discussion hope.,168.23,19.77
2025-04-08,Miscellaneous,UPI,Alone anyone team read name remain.,291.14,8.97
2025-04-16,Subscriptions,Cash,I star religious mind together.,462.12,5.16
2025-04-19,Miscellaneous,NetBanking,Inside deep for than.,495.71,17.95
2025-04-13,Groceries,Credit Card,Nor art those person alone learn.,414.72,5.25
2025-04-11,Transportation,Debit Card,Get spend old night technology.,435.76,18.33
2025-04-10,Entertainment,NetBanking,Market general wall.,408.65,9.08
2025-04-27,Entertainment,Credit Card,Direction environment skill house that.,372.8,13.15
2025-04-08,Groceries,Debit Card,Assume few spring politics important gas.,133.27,13.17
2025-04-19,Transportation,NetBanking,Response significant technology some chance.,278.34,13.81
2025-04-14,Miscellaneous,Credit Card,Food thousand tree major miss.,113.67,0.0
2025-04-08,Groceries,Cash,Team between commercial guy.,18.4,17.45
2025-04-27,Miscellaneous,Cash,Blood fill tend add law tax.,277.62,0.0
2025-04-03,Subscriptions,Debit Card,Easy article push finally.,49.74,12.07
2025-04-26,Groceries,Debit Card,Win call bag reduce away mission.,249.76,0.0
2025-04-27,Entertainment,Cash,Leader pull despite note box.,341.92,0.0
2025-04-14,Groceries,Credit Card,Street bit senior material.,283.54,0.0
2025-04-12,Transportation,Cash,Near green ago science most.,480.25,0.0
2025-04-14,Bills,Credit Card,Way lead generation the his difficult.,485.21,11.33
2025-04-27,Entertainment,NetBanking,Remember simply admit else.,492.74,14.76
2025-04-13,Food,UPI,Indicate oil position friend what identify.,149.04,0.0
2025-04-14,Bills,Debit Card,Employee last among.,386.79,19.08
2025-04-18,Food,Cash,Authority home past.,453.37,6.5
2025-04-01,Subscriptions,Cash,Play notice economy color necessary billion.,308.93,12.63
2025-04-11,Miscellaneous,UPI,Plan cover she fall specific office.,244.47,14.03
2025-04-24,Groceries,NetBanking,Three modern north movement blue everything.,353.79,0.0
2025-04-22,Food,Credit Card,Evening watch imagine although necessary above.,373.89,0.1
2025-04-05,Transportation,NetBanking,Total standard short sign tonight nature.,492.99,0.0
2025-04-26,Miscellaneous,Credit Card,Market hot participant.,451.13,0.0
2025-04-21,Transportation,Credit Card,Black miss on.,338.05,2.43
2025-04-21,Subscriptions,Cash,Down age country.,210.37,12.67
2025-04-21,Entertainment,Debit Card,Impact young test Mrs government young.,93.78,1.05
2025-04-22,Food,UPI,Small return officer meet.,27.2,0.0
2025-04-08,Miscellaneous,Credit Card,Realize just travel field free.,402.09,6.07
2025-04-13,Subscriptions,Cash,Trade computer dream trade culture room.,212.85,18.51
2025-04-03,Bills,Debit Card,Teacher feeling most everyone available.,374.47,18.86
2025-04-17,Food,Debit Card,Third whom one book.,430.93,2.46
2025-04-24,Miscellaneous,NetBanking,Probably PM avoid management.,394.88,14.61
2025-04-07,Miscellaneous,Cash,Hour must member appear consumer.,314.48,0.0
2025-04-19,Groceries,Cash,Cost could result energy white.,376.47,7.97
2025-04-23,Groceries,UPI,Program black different not likely finally.,427.58,0.0
2025-04-12,Groceries,NetBanking,Better thought alone trial lead send.,271.07,0.0
2025-04-22,Miscellaneous,NetBanking,Tv everybody detail reflect.,426.69,19.46
2025-04-26,Food,Debit Card,Tv condition born after majority.,59.88,0.0
2025-04-11,Miscellaneous,UPI,Line concern yet wish for.,227.45,0.0
2025-04-27,Groceries,Debit Card,Ready letter water cause.,265.47,14.3
2025-04-09,Entertainment,Debit Card,Citizen whom available a trade.,382.28,0.0
2025-04-26,Food,UPI,Behavior me price.,220.85,2.57
2025-04-12,Groceries,Debit Card,Own care still.,347.09,0.0
2025-04-27,Food,Debit Card,Talk return position place night.,412.5,2.32
2025-04-08,Transportation,NetBanking,Factor audience yeah building anyone technology.,156.12,19.69
2025-04-15,Bills,Credit Card,Experience our official organization.,467.75,0.0
2025-04-09,Miscellaneous,Credit Card,Yeah particular community view free.,129.84,12.19
2025-04-07,Subscriptions,NetBanking,Position draw world.,328.11,0.0
2025-04-20,Food,UPI,My identify month ability.,430.17,6.58
2025-04-16,Subscriptions,NetBanking,Right along investment.,321.82,0.27
2025-04-02,Subscriptions,UPI,Time either fight thank others.,159.13,0.0
2025-04-20,Groceries,Debit Card,Art until position attack interesting marriage.,312.75,0.0
2025-04-16,Entertainment,Credit Card,Allow form camera data guess plant.,42.51,0.0
2025-04-22,Transportation,Debit Card,Century hot author three stock more affect.,216.12,0.0
2025-04-23,Entertainment,Debit Card,Attorney value affect able cultural window.,242.41,0.0
2025-04-20,Entertainment,Debit Card,While anything catch style watch.,209.21,0.0
2025-04-18,Miscellaneous,UPI,Contain prepare talk for wish none.,395.68,0.0
2025-04-20,Groceries,Cash,Question thus standard sort raise weight.,346.72,0.0
2025-04-02,Miscellaneous,Credit Card,Relate size join anyone may.,59.41,7.45
2025-04-05,Food,NetBanking,Create number social.,45.93,6.0
2025-04-02,Bills,NetBanking,Where beat dinner they scene second.,446.49,9.51
2025-04-26,Bills,UPI,Someone well season you class democratic.,213.25,2.68
2025-04-26,Groceries,UPI,Move forget clear thought stand professor.,165.95,13.52
